edgeID,startNode,endNode
AHALL00701_ADEPT00301,AHALL00701,ADEPT00301
bPARK00201_bPARK00301,bPARK00201,bPARK00301
bEXIT00401_FHALL02201,bEXIT00401,FHALL02201
bWALK00701_bWALK00801,bWALK00701,bWALK00801
AHALL00501_AHALL00401,AHALL00501,AHALL00401
EHALL03101_EHALL03601,EHALL03101,EHALL03601
FHALL01501_bCONF00601,FHALL01501,bCONF00601
bPARK00501_bWALK00101,bPARK00501,bWALK00101
bPARK01701_bPARK01601,bPARK01701,bPARK01601
GHALL01401_GHALL00801,GHALL01401,GHALL00801
ELABS00101_bCONF00501,ELABS00101,bCONF00501
bCONF00301_bPARK01701,bCONF00301,bPARK01701
bPARK01301_bPARK02001,bPARK01301,bPARK02001
ESTAI00401_ELABS00201,ESTAI00401,ELABS00201
bPARK00101_bPARK00201,bPARK00101,bPARK00201
bWALK00601_bWALK00701,bWALK00601,bWALK00701
bWALK00101_bWALK00201,bWALK00101,bWALK00201
ADEPT00301_ADEPT00101,ADEPT00301,ADEPT00101
ELABS00201_EDEPT00401,ELABS00201,EDEPT00401
EHALL02301_bCONF00401,EHALL02301,bCONF00401
