nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
bPARK00401,451,1893,1,Parking,HALL,Left Parking Lot Spot 4,LLot4
GHALL01701,1604,2093,1,Shapiro,HALL,Hallway MapNode 17 Floor 1,Hall
bPARK01601,3158,1253,1,Parking,HALL,Right Parking Lot Spot 6,RLot6
AHALL00301,1604,2737,1,BTM,HALL,Hall,Hall
FHALL01501,1627,1058,1,Tower,HALL,Tower Hallway 7,Hallway F01501
bWALK00801,2135,1539,1,Parking,HALL,Francis Drop Off Sidewalk 1,FrancisDrop1
GHALL02801,1276,1830,1,Shapiro,HALL,Hallway MapNode 28 Floor 1,Hall
bPARK00301,363,1893,1,Parking,HALL,Left Parking Lot Spot 3,LLot3
FHALL02401,1964,1282,1,Tower,HALL,Lobby Hallway 2,Hallway F02401
AHALL00401,1421,2737,1,BTM,HALL,Hall,Hall
GHALL00801,1703,2152,1,Shapiro,HALL,Hallway MapNode 8 Floor 1,Hall
bPARK00201,267,1893,1,Parking,HALL,Left Parking Lot Spot 2,LLot2
FHALL02501,1964,1238,1,Tower,HALL,Lobby Hallway 3,Hallway F02501
AHALL00501,1421,2865,1,BTM,HALL,Hall,Hall
EEXIT00201,2951,623,1,45 Francis,HALL,Exit 2 Floor 1,Exit 2
EHALL03001,2790,1064,1,45 Francis,HALL,Hallway Node 28 Floor 1,HallE28
GHALL00701,1703,2092,1,Shapiro,HALL,Hallway MapNode 7 Floor 1,Hall
bCONF00101,1604,2215,1,Shapiro,HALL,123,123
EDEPT00301,3199,885,1,45 Francis,HALL,Occupational Health Floor 1,Occupational 1
bPARK02401,3364,1279,1,Parking,HALL,Right Parking Lot Spot 14,RLot14
bPARK00101,151,1893,1,Parking,HALL,Left Parking Lot Spot 1,LLot1
FHALL02201,1752,1282,1,Tower,HALL,Hallway Lobby Entrance,Entrance Hallway
GHALL01401,1752,2151,1,Shapiro,HALL,Hallway MapNode 14 Floor 1,Hall
bPARK01301,3158,1182,1,Parking,HALL,Right Parking Lot Spot 3,RLot3
EHALL03101,2790,1462,1,45 Francis,HALL,Hallway Node 29 Floor 1,HallE29
bWALK00501,1754,1681,1,Parking,HALL,Francis Vining Intersection Bottom Left,FrancisViningIntBotLeft
bPARK02301,3364,1253,1,Parking,HALL,Right Parking Lot Spot 13,RLot13
EDEPT00201,3090,885,1,45 Francis,HALL,Wound and Ambulatory 1,WCCAT 1
ESTAI00401,2604,1293,1,45 Francis,HALL,Staircase H2 Floor 1,Stair H2
EHALL02001,2951,738,1,45 Francis,HALL,Hallway Node 18 Floor 1,HallE18
bWALK00401,1110,1690,1,Parking,HALL,Francis Street Biney Street Intersection Right,FrancisBineyIntRight
FHALL01101,1627,930,1,Tower,HALL,Tower Hallway 4,Hallway F01101
GHALL02401,1604,2015,1,Shapiro,HALL,Hallway MapNode 24 Floor 1,Hall
EHALL02101,3234,885,1,45 Francis,HALL,Hallway Node 19 Floor 1,HallE19
GHALL01601,1703,2215,1,Shapiro,HALL,Hallway MapNode 16 Floor 1,Hall
bPARK01101,3158,1130,1,Parking,HALL,Right Parking Lot Spot 1,RLot1
EHALL03301,2604,1380,1,45 Francis,HALL,Hallway Node 31 Floor 1,HallE31
FHALL03101,2013,886,1,Tower,HALL,Lobby Hallway 6,Hallway F02801
bWALK00701,2013,1539,1,Parking,HALL,Francis Vining Intersection Top Right,FrancisViningIntTopRight
EDEPT00401,2790,1380,1,45 Francis,HALL,Rehabilitation Services Floor 1,Rehab 1
EHALL02201,3274,885,1,45 Francis,HALL,Hallway Node 20 Floor 1,HallE20
GHALL01501,1752,2215,1,Shapiro,HALL,Hallway MapNode 15 Floor 1,Hall
GEXIT00101,1752,1830,1,Shapiro,HALL,Francis Street Exit MapNode 1 Floor 1,Francis Street Exit Floor 1
bPARK01001,674,2086,1,Parking,HALL,Left Parking Lot Spot 10,LLot10
WELEV00H01,2604,1064,1,45 Francis,HALL,Elevator H Floor 1,Elevator H1
bWALK00601,1752,1539,1,Parking,HALL,Francis Vining Intersection Top Left,FrancisViningIntTopLeft
bPARK02001,3364,1182,1,Parking,HALL,Right Parking Lot Spot 10,RLot10
EHALL02301,3364,885,1,45 Francis,HALL,Hallway Node 21 Floor 1,HallE21
bWALK01301,3364,1539,1,Parking,HALL,Right Parking Lot Walkway 1,RlotWalk1
ADEPT00101,1421,2569,1,BTM,HALL,Neuroscience Waiting Room,Neuro Waiting Room
bCONF00601,1752,1058,1,Francis,HALL,2434,32
bWALK00101,571,1893,1,Parking,HALL,Left Parking Lot Walkway,Llot Walk
GHALL02101,1604,1830,1,Shapiro,HALL,Hallway MapNode 21 Floor 1,Hall
EHALL01301,2604,978,1,45 Francis,HALL,Hallway Node 11 Floor 1,HallE11
EHALL03601,2604,1462,1,45 Francis,HALL,Hallway Node 34 Floor 1,HallE34
EHALL02501,2925,978,1,45 Francis,HALL,Hallway Node 23 Floor 1,HallE23
FHALL00901,1627,850,1,Tower,HALL,Tower Hallway 2,Hallway F00901
ADEPT00301,1017,2569,1,BTM,HALL,CART Waiting,CART Waiting
FEXIT00101,2017,799,1,Tower,HALL,Shattuck Street Lobby Exit,Shattuck St. Exit
bWALK00301,917,1692,1,Parking,HALL,Francis Street Biney Street Intersection Left,FrancisBineyIntLeft
EHALL02601,3090,978,1,45 Francis,HALL,Hallway Node 24 Floor 1,HallE24
bWALK00201,571,1696,1,Parking,HALL,Francis Street Left Walkway,FrancisWalk
